Instancia,Clase,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
20,2,0.0012787257777351505,0.0020742680348523296,0.006592002889943743,0.01284876648167074,0.0025062188668424972,0.0011986665039564286,0.0007570303603526534,0.001286970506138207,0.00024371036900560058,0.0005490353869579698,0.0008521346854067199,0.0015377507085264153,0.000612400426914904,0.00025399165138490247,0.00037268553110880357,0.00043260432064158734,566.0,582.0,568.0,570.0,570.0,573.0,575.0,566.0
21,3,0.005781987870620558,0.0011076948401017627,0.0067988212983814125,0.0067991812370376764,0.001705408605677174,0.0016024501242234452,0.003559635589425016,0.0028195635477988785,0.0006037356001569167,0.0006435616506791557,0.0014023495416075964,0.0015746013642586232,0.0011927538595003164,0.0005009660067554502,0.0009263905883623224,0.001393962631674393,568.0,572.0,579.0,580.0,578.0,582.0,580.0,578.0
22,2,0.0006431317006436459,0.001711981868790074,0.001330292387226268,0.0027145037840671455,0.0015596021086082457,0.00034963384515756987,0.0028739437048060376,0.0010366658264041467,0.0002941708055949883,0.0006974295120755132,0.0006285230190738762,0.0012411525191288748,0.0006112021128017868,0.00025263078647005894,0.0005258082231965341,0.00047550597769020097,574.0,576.0,570.0,564.0,578.0,575.0,578.0,578.0
23,3,0.0034209662080955136,0.008937221948616137,0.0016713940162725479,0.0016261276274484233,0.003514350996696871,0.002284206851858854,0.0031388445092950016,0.0026826066212903947,0.00041123497612568214,0.0011301693685778545,0.0008236619284258154,0.0010601307265426679,0.001139288294927455,0.0004683862133884905,0.0005724563521151404,0.0007627255144859547,572.0,574.0,568.0,560.0,571.0,576.0,576.0,576.0
24,2,0.0006230677567907881,0.006284467863212482,0.0008819395528037609,0.0036904333780763644,0.0027481095594785437,0.0004166475930092719,0.00206794999516042,0.0023899029339861364,0.0003045027988490327,0.001113200171274177,0.000635210240169161,0.0012006664929024254,0.0005005994594283804,0.00021463818822341349,0.0004639170228137843,0.0004238043455395096,566.0,572.0,568.0,570.0,566.0,572.0,572.0,574.0
25,3,0.00033637611214450206,0.0008834907864999639,0.0025467518203023403,0.004107969232774633,0.0018699537087092544,0.0007745467985844474,0.0010535593413367626,0.0012080133501443965,0.00020452476913390328,0.00040757167733019184,0.0005476381330837671,0.0010669864756782481,0.0009385374765155983,0.00036302717587132557,0.0005628817597720264,0.0004504468808481508,577.0,583.0,580.0,580.0,577.0,574.0,580.0,575.0
26,2,0.000809967130609332,0.0015072303824541903,0.004228599890599556,0.00717522932620241,0.0009339652727491039,0.0007755760878837066,0.0018741505406908523,0.0004431740107397066,0.000282603909343718,0.0007266913280088238,0.0007518061747426872,0.0012095423267791876,0.0004019746961894695,0.00021840729773395953,0.00038892347528726213,0.00027894165719330845,572.0,574.0,578.0,560.0,566.0,571.0,577.0,578.0
27,3,0.0005025536573899302,0.0008761200862893033,0.0011601547655918027,0.0016975169480543707,0.0010150625644141835,0.0004768643291121713,0.0022675195046855654,0.0009169624552732737,0.0002563069451833486,0.0006113008211278149,0.0005983350200173984,0.0010474651878073084,0.0007264285128283885,0.00026927189793788016,0.00043102622803681484,0.0003294112748929647,576.0,580.0,578.0,576.0,575.0,571.0,572.0,574.0
28,2,0.0018701701400284602,0.0023453434130197084,0.001491197705419287,0.0040056704452857165,0.0023910609618878038,0.0029392679956661656,0.002462272299365195,0.002034588581681891,0.0006072087977527158,0.0013516043868156036,0.001036681145407503,0.0021570554366497985,0.0015189338167537639,0.0007436855042822069,0.0010015757787785954,0.0013213677986628068,642.0,628.0,631.0,630.0,650.0,652.0,648.0,654.0
29,3,0.0010118200090723064,0.002224450499218171,0.005463278661979352,0.0033635601559895583,0.0053770132456687735,0.0038289499973136287,0.0029731282240237707,0.003412840638427305,0.00030442630724100434,0.0008387912994047011,0.0011643572337890085,0.001443480832758465,0.0012993291204401358,0.0005781261213177979,0.0005221073863230806,0.0006267228960123127,582.0,584.0,590.0,582.0,586.0,576.0,579.0,578.0
